Latein,Deutsch,Kartei,Wortart
quis es?,Wer bist Du?; Wie heißt Du?,11,x
Ego sum,Ich bin; ich heiße,11,x
familia,die Familie,11,s
servus,der Diener; der Sklave,11,s
serva,die Dienerin; die Sklavin,11,s
dominus,der Herr; der Hausherr,11,s
domina,die Herrin; die Hausherrin,11,s
negotium,das Geschäft (machen); die Aufgabe,11,s
est,er/sie/es ist; es gibt,11,v
amicus,der Freund,11,s
et,und,11,x
amica,die Freundin,11,s
ubi,wo,11,x
non,nicht,11,x
hic,hier,11,x
properare,eilen; sich beeilen,11,v
laborare,leiden; arbeiten,11,v
clamare,(laut) rufen; schreien,11,v
sedere; sedeo; sedi; sessum,sitzen; dasitzen,11,v
gaudere,sich freuen; froh sein,11,v
sunt,sie sind; es gibt/findet statt,11,x
nam,denn ; nämlich,11,x
etiam,auch ; sogar,11,x
ibi,dort,11,x
debere,müssen; schulden,11,v
nunc,nun; jetzt,11,x
sed,aber; doch; sondern,11,x
cur?,warum?,11,x
otium,die Freizeit; die Ruhe; die Muße,11,s
forum,das Forum; der (Markt)Platz; das Stadtzentrum,11,s
nomen,der Name,11,s
lectus,das Bett; die Liege,11,s
mensa,der Tisch,10,s
cibus,die Speise; das Essen; die Nahrung,11,s
cenare,essen; speisen,11,v
vinum,der Wein,11,s
aqua,das Wasser,11,s
vocare,rufen,11,v
quid?,was?,11,x
ridere; rideo; risi; risum,lachen; auslachen,11,v
venire; venio; veni; ventum,kommen,11,v
audire,hören; anhören,11,v
dormire,schlafen,11,v
desperare,verzweifeln; die Hoffnung aufgeben,11,v
tum,dann; darauf; da; damals,11,x
iam,schon; bereits,11,x
subito,plötzlich,11,x
imperare,befehlen; anordnen; herrschen,10,v
parere,gehorchen; folgen,11,v
cessare,zögern; sich Zeit lassen,10,v
salutare,grüßen; begrüßen,11,v
salve!,sei gegrüßt; grüß dich!,11,x
num?,etwa?,11,x
aperire; aperio; aperui; apertum,öffnen; aufmachen,11,v
intrare,betreten; eintreten,11,v
verbum,das Wort,11,s
tacere,still sein; schweigen; verschweigen,11,v
rogare,fragen; bitte (um),11,v
respondere; respondeo; respondi; responsum,antworten,11,v
docere; doceo; docui; doctum,lehren; beibringen; unterrichten,11,v
fabula,die Geschichte; die Erzähliung; das Theaterstück,11,s
laudare,loben,11,v
bene,gut,11,x
tu,du,11,x
tabula,die Tafel; das Brett,11,s
amare,lieben; germe mögen,11,v
curare,sich kümmern; soregen (für); pflegen,11,v
ego,ich,11,x
spectare,(an)schauen; betrachten,11,v
monere,mahnen; erinnern,11,v
tandem,endlich; schließlich,11,x
puella,das Mädchen,11,s
quis?,wer?,11,x
autem,aber; jedoch,11,x
semper,immer,11,x
narrare,erzählen; berichten,11,v
quaeso,ich bitte,11,v
quaesumus,wir bitten,11,v
enim,denn; nämlich,11,x
grammaticus,der Literaturlehrer,11,s
magister,der Lehrer,11,s
Romanus,der Römer,11,s
